,1stFlrSF,2ndFlrSF,3SsnPorch,bedroomabvgr,bsmtfinsf1,bsmtfinsf2,bsmtfullbath,bsmthalfbath,bsmtunfsf,enclosedporch,fireplaces,fullbath,garagearea,garagecars,garageyrblt,grlivarea,halfbath,kitchenabvgr,lotarea,lotfrontage,lowqualfinsf,masvnrarea,miscval,mosold,mssubclass,openporchsf,overallcond,overallqual,poolarea,saleprice,screenporch,totalbsmtsf,totrmsabvgrd,wooddecksf,yearbuilt,yearremodadd,yrsold,alley,bldgtype,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfintype2,bsmtqual,centralair,condition1,condition2,electrical,extercond,exterior1st,exterior2nd,exterqual,fence,fireplacequ,foundation,functional,garagecond,garagefinish,garagequal,garagetype,heating,heatingqc,housestyle,kitchenqual,landcontour,landslope,lotconfig,lotshape,masvnrtype,miscfeature,mszoning,neighborhood,paveddrive,poolqc,roofmatl,roofstyle,salecondition,saletype,street,utilities
10,1040,0,0,3,906,0,1,0,134,0,0,1,384,1,1965.0,1040,0,1,11200,70.0,0,0.0,0,2,20,0,5,5,0,129500,0,1040,5,0,1965,1965,2008,Grvl,1Fam,TA,No,Rec,Unf,TA,Y,Norm,Norm,SBrkr,TA,HdBoard,HdBoard,TA,MnPrv,Gd,CBlock,Typ,TA,Unf,TA,Detchd,GasA,Ex,1Story,TA,Lvl,Gtl,Inside,Reg,None,Shed,RL,Sawyer,Y,Gd,CompShg,Hip,Normal,WD,Pave,AllPub
11,1182,1142,0,4,998,0,1,0,177,0,2,3,736,3,2005.0,2324,0,1,11924,85.0,0,286.0,0,7,60,21,5,9,0,345000,0,1175,11,147,2005,2006,2006,Grvl,1Fam,TA,No,GLQ,Unf,Ex,Y,Norm,Norm,SBrkr,TA,WdShing,Wd Shng,Ex,MnPrv,Gd,PConc,Typ,TA,Fin,TA,BuiltIn,GasA,Ex,2Story,Ex,Lvl,Gtl,Inside,IR1,Stone,Shed,RL,NridgHt,Y,Gd,CompShg,Hip,Partial,New,Pave,AllPub
12,912,0,0,2,737,0,1,0,175,0,0,1,352,1,1962.0,912,0,1,12968,70.04995836802665,0,0.0,0,9,20,0,6,5,0,144000,176,912,4,140,1962,1962,2008,Grvl,1Fam,TA,No,ALQ,Unf,TA,Y,Norm,Norm,SBrkr,TA,HdBoard,Plywood,TA,MnPrv,Gd,CBlock,Typ,TA,Unf,TA,Detchd,GasA,TA,1Story,TA,Lvl,Gtl,Inside,IR2,None,Shed,RL,Sawyer,Y,Gd,CompShg,Hip,Normal,WD,Pave,AllPub
13,1494,0,0,3,0,0,0,0,1494,0,1,2,840,3,2006.0,1494,0,1,10652,91.0,0,306.0,0,8,20,33,5,7,0,279500,0,1494,7,160,2006,2007,2007,Grvl,1Fam,TA,Av,Unf,Unf,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Gd,PConc,Typ,TA,RFn,TA,Attchd,GasA,Ex,1Story,Gd,Lvl,Gtl,Inside,IR1,Stone,Shed,RL,CollgCr,Y,Gd,CompShg,Gable,Partial,New,Pave,AllPub
14,1253,0,0,2,733,0,1,0,520,176,1,1,352,1,1960.0,1253,1,1,10920,70.04995836802665,0,212.0,0,5,20,213,5,6,0,157000,0,1253,5,0,1960,1960,2008,Grvl,1Fam,TA,No,BLQ,Unf,TA,Y,Norm,Norm,SBrkr,TA,MetalSd,MetalSd,TA,GdWo,Fa,CBlock,Typ,TA,RFn,TA,Attchd,GasA,TA,1Story,TA,Lvl,Gtl,Corner,IR1,BrkFace,Shed,RL,NAmes,Y,Gd,CompShg,Hip,Normal,WD,Pave,AllPub
15,854,0,0,2,0,0,0,0,832,0,0,1,576,2,1991.0,854,0,1,6120,51.0,0,0.0,0,7,45,112,8,7,0,132000,0,832,5,48,1929,2001,2007,Grvl,1Fam,TA,No,Unf,Unf,TA,Y,Norm,Norm,FuseA,TA,Wd Sdng,Wd Sdng,TA,GdPrv,Gd,BrkTil,Typ,TA,Unf,TA,Detchd,GasA,Ex,1.5Unf,TA,Lvl,Gtl,Corner,Reg,None,Shed,RM,BrkSide,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
16,1004,0,0,2,578,0,1,0,426,0,1,1,480,2,1970.0,1004,0,1,11241,70.04995836802665,0,180.0,700,3,20,0,7,6,0,149000,0,1004,5,0,1970,1970,2010,Grvl,1Fam,TA,No,ALQ,Unf,TA,Y,Norm,Norm,SBrkr,TA,Wd Sdng,Wd Sdng,TA,MnPrv,TA,CBlock,Typ,TA,Fin,TA,Attchd,GasA,Ex,1Story,TA,Lvl,Gtl,CulDSac,IR1,BrkFace,Shed,RL,NAmes,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
17,1296,0,0,2,0,0,0,0,0,0,0,2,516,2,1967.0,1296,0,2,10791,72.0,0,0.0,500,10,90,0,5,4,0,90000,0,0,6,0,1967,1967,2006,Grvl,Duplex,TA,No,Unf,Unf,TA,Y,Norm,Norm,SBrkr,TA,MetalSd,MetalSd,TA,MnPrv,Gd,Slab,Typ,TA,Unf,TA,CarPort,GasA,TA,1Story,TA,Lvl,Gtl,Inside,Reg,None,Shed,RL,Sawyer,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
18,1114,0,0,3,646,0,1,0,468,0,0,1,576,2,2004.0,1114,1,1,13695,66.0,0,0.0,0,6,20,102,5,5,0,159000,0,1114,6,0,2004,2004,2008,Grvl,1Fam,TA,No,GLQ,Unf,TA,Y,RRAe,Norm,SBrkr,TA,VinylSd,VinylSd,TA,MnPrv,Gd,PConc,Typ,TA,Unf,TA,Detchd,GasA,Ex,1Story,Gd,Lvl,Gtl,Inside,Reg,None,Shed,RL,SawyerW,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
19,1339,0,0,3,504,0,0,0,525,0,0,1,294,1,1958.0,1339,0,1,7560,70.0,0,0.0,0,5,20,0,6,5,0,139000,0,1029,6,0,1958,1965,2009,Grvl,1Fam,TA,No,LwQ,Unf,TA,Y,Norm,Norm,SBrkr,TA,BrkFace,Plywood,TA,MnPrv,Gd,CBlock,Min1,TA,Unf,TA,Attchd,GasA,TA,1Story,TA,Lvl,Gtl,Inside,Reg,None,Shed,RL,NAmes,Y,Gd,CompShg,Hip,Abnorml,COD,Pave,AllPub
20,1158,1218,0,4,0,0,0,0,1158,0,1,3,853,3,2005.0,2376,1,1,14215,101.0,0,380.0,0,11,60,154,5,8,0,325300,0,1158,9,240,2005,2006,2006,Grvl,1Fam,TA,Av,Unf,Unf,Ex,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Gd,PConc,Typ,TA,RFn,TA,BuiltIn,GasA,Ex,2Story,Gd,Lvl,Gtl,Corner,IR1,BrkFace,Shed,RL,NridgHt,Y,Gd,CompShg,Gable,Partial,New,Pave,AllPub
21,1108,0,0,3,0,0,0,0,637,205,1,1,280,1,1930.0,1108,0,1,7449,57.0,0,0.0,0,6,45,0,7,7,0,139400,0,637,6,0,1930,1950,2007,Grvl,1Fam,TA,No,Unf,Unf,TA,Y,Norm,Norm,FuseF,TA,Wd Sdng,Wd Sdng,TA,GdPrv,Gd,PConc,Typ,TA,Unf,TA,Attchd,GasA,Ex,1.5Unf,Gd,Bnk,Gtl,Inside,Reg,None,Shed,RM,IDOTRR,N,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
22,1795,0,0,3,0,0,0,0,1777,0,1,2,534,2,2002.0,1795,0,1,9742,75.0,0,281.0,0,9,20,159,5,8,0,230000,0,1777,7,171,2002,2002,2008,Grvl,1Fam,TA,No,Unf,Unf,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Gd,PConc,Typ,TA,RFn,TA,Attchd,GasA,Ex,1Story,Gd,Lvl,Gtl,Inside,Reg,BrkFace,Shed,RL,CollgCr,Y,Gd,CompShg,Hip,Normal,WD,Pave,AllPub
23,1060,0,0,3,840,0,1,0,200,0,1,1,572,2,1976.0,1060,0,1,4224,44.0,0,0.0,0,6,120,110,7,5,0,129900,0,1040,6,100,1976,1976,2007,Grvl,TwnhsE,TA,No,GLQ,Unf,Gd,Y,Norm,Norm,SBrkr,TA,CemntBd,CmentBd,TA,MnPrv,TA,PConc,Typ,TA,Unf,TA,Attchd,GasA,TA,1Story,TA,Lvl,Gtl,Inside,Reg,None,Shed,RM,MeadowV,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
24,1060,0,0,3,188,668,1,0,204,0,1,1,270,1,1968.0,1060,0,1,8246,70.04995836802665,0,0.0,0,5,20,90,8,5,0,154000,0,1060,6,406,1968,2001,2010,Grvl,1Fam,TA,Mn,Rec,ALQ,TA,Y,Norm,Norm,SBrkr,Gd,Plywood,Plywood,TA,MnPrv,TA,CBlock,Typ,TA,Unf,TA,Attchd,GasA,Ex,1Story,Gd,Lvl,Gtl,Inside,IR1,None,Shed,RL,Sawyer,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
25,1600,0,0,3,0,0,0,0,1566,0,1,2,890,3,2007.0,1600,0,1,14230,110.0,0,640.0,0,7,20,56,5,8,0,256300,0,1566,7,0,2007,2007,2009,Grvl,1Fam,TA,No,Unf,Unf,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Gd,PConc,Typ,TA,RFn,TA,Attchd,GasA,Ex,1Story,Gd,Lvl,Gtl,Corner,Reg,Stone,Shed,RL,NridgHt,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
26,900,0,0,3,234,486,0,1,180,0,0,1,576,2,2005.0,900,0,1,7200,60.0,0,0.0,0,5,20,32,7,5,0,134800,0,900,5,222,1951,2000,2010,Grvl,1Fam,TA,Mn,BLQ,Rec,TA,Y,Norm,Norm,SBrkr,TA,Wd Sdng,Wd Sdng,TA,MnPrv,Gd,CBlock,Typ,TA,Unf,TA,Detchd,GasA,TA,1Story,Gd,Lvl,Gtl,Corner,Reg,None,Shed,RL,NAmes,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
27,1704,0,0,3,1218,0,1,0,486,0,1,2,772,3,2008.0,1704,0,1,11478,98.0,0,200.0,0,5,20,50,5,8,0,306000,0,1704,7,0,2007,2008,2010,Grvl,1Fam,TA,No,GLQ,Unf,Ex,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Gd,PConc,Typ,TA,RFn,TA,Attchd,GasA,Ex,1Story,Gd,Lvl,Gtl,Inside,Reg,Stone,Shed,RL,NridgHt,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
28,1600,0,0,2,1277,0,1,0,207,0,2,1,319,1,1957.0,1600,0,1,16321,47.0,0,0.0,0,12,20,258,6,5,0,207500,0,1484,6,288,1957,1997,2006,Grvl,1Fam,TA,Gd,BLQ,Unf,TA,Y,Norm,Norm,SBrkr,TA,MetalSd,MetalSd,TA,MnPrv,Gd,CBlock,Typ,TA,RFn,TA,Attchd,GasA,TA,1Story,TA,Lvl,Gtl,CulDSac,IR1,None,Shed,RL,NAmes,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
29,520,0,0,1,0,0,0,0,520,87,0,1,240,1,1920.0,520,0,1,6324,60.0,0,0.0,0,5,30,0,6,4,0,68500,0,520,4,49,1927,1950,2008,Grvl,1Fam,TA,No,Unf,Unf,TA,N,Feedr,RRNn,SBrkr,TA,MetalSd,MetalSd,TA,MnPrv,Gd,BrkTil,Typ,TA,Unf,Fa,Detchd,GasA,Fa,1Story,Fa,Lvl,Gtl,Inside,IR1,None,Shed,RM,BrkSide,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
30,649,668,0,3,0,0,0,0,649,172,0,1,250,1,1920.0,1317,0,1,8500,50.0,0,0.0,0,7,70,54,4,4,0,40000,0,649,6,0,1920,1950,2008,Pave,1Fam,TA,No,Unf,Unf,TA,N,Feedr,Norm,SBrkr,Fa,BrkFace,BrkFace,TA,MnPrv,Gd,BrkTil,Typ,Fa,Unf,TA,Detchd,GasA,TA,2Story,TA,Lvl,Gtl,Inside,Reg,None,Shed,C (all),IDOTRR,N,Gd,CompShg,Gambrel,Normal,WD,Pave,AllPub
31,1228,0,0,3,0,0,0,0,1228,0,0,1,271,1,1966.0,1228,1,1,8544,70.04995836802665,0,0.0,0,6,20,65,6,5,0,149350,0,1228,6,0,1966,2006,2008,Grvl,1Fam,TA,No,Unf,Unf,TA,Y,Norm,Norm,SBrkr,TA,HdBoard,HdBoard,TA,MnPrv,Gd,CBlock,Typ,TA,Unf,TA,Attchd,GasA,Gd,1Story,Gd,Lvl,Gtl,CulDSac,IR1,None,Shed,RL,Sawyer,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
32,1234,0,0,3,0,0,0,0,1234,0,0,2,484,2,2007.0,1234,0,1,11049,85.0,0,0.0,0,1,20,30,5,8,0,179900,0,1234,7,0,2007,2007,2008,Grvl,1Fam,TA,Av,Unf,Unf,Ex,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Gd,PConc,Typ,TA,RFn,TA,Attchd,GasA,Ex,1Story,Gd,Lvl,Gtl,Corner,Reg,None,Shed,RL,CollgCr,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
33,1700,0,0,4,1018,0,0,1,380,0,1,1,447,2,1959.0,1700,1,1,10552,70.0,0,0.0,0,4,20,38,5,5,0,165500,0,1398,6,0,1959,1959,2010,Grvl,1Fam,TA,No,Rec,Unf,TA,Y,Norm,Norm,SBrkr,TA,BrkFace,BrkFace,TA,MnPrv,Gd,CBlock,Typ,TA,RFn,TA,Attchd,GasA,Gd,1Story,Gd,Lvl,Gtl,Inside,IR1,None,Shed,RL,NAmes,Y,Gd,CompShg,Hip,Normal,WD,Pave,AllPub
34,1561,0,0,2,1153,0,1,0,408,0,1,2,556,2,2005.0,1561,0,1,7313,60.0,0,246.0,0,8,120,47,5,9,0,277500,0,1561,6,203,2005,2005,2007,Grvl,TwnhsE,TA,No,GLQ,Unf,Ex,Y,Norm,Norm,SBrkr,TA,MetalSd,MetalSd,Ex,MnPrv,Gd,PConc,Typ,TA,Fin,TA,Attchd,GasA,Ex,1Story,Ex,Lvl,Gtl,Inside,Reg,BrkFace,Shed,RL,NridgHt,Y,Gd,CompShg,Hip,Normal,WD,Pave,AllPub
35,1132,1320,0,4,0,0,0,0,1117,0,1,3,691,3,2004.0,2452,1,1,13418,108.0,0,132.0,0,9,60,32,5,8,0,309000,0,1117,9,113,2004,2005,2006,Grvl,1Fam,TA,Av,Unf,Unf,Ex,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Gd,PConc,Typ,TA,Fin,TA,BuiltIn,GasA,Ex,2Story,Gd,Lvl,Gtl,Inside,Reg,Stone,Shed,RL,NridgHt,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
36,1097,0,0,3,0,0,0,0,1097,0,0,1,672,2,1995.0,1097,1,1,10859,112.0,0,0.0,0,6,20,64,5,5,0,145000,0,1097,6,392,1994,1995,2009,Grvl,1Fam,TA,No,Unf,Unf,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,TA,MnPrv,Gd,PConc,Typ,TA,Unf,TA,Attchd,GasA,Ex,1Story,TA,Lvl,Gtl,Corner,Reg,None,Shed,RL,CollgCr,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
37,1297,0,0,3,1213,0,0,1,84,0,1,1,498,2,1954.0,1297,0,1,8532,74.0,0,650.0,0,10,20,0,6,5,0,153000,0,1297,5,0,1954,1990,2009,Grvl,1Fam,TA,No,Rec,Unf,TA,Y,Norm,Norm,SBrkr,TA,Wd Sdng,Wd Sdng,TA,MnPrv,TA,CBlock,Typ,TA,Fin,TA,Attchd,GasA,Gd,1Story,TA,Lvl,Gtl,Inside,Reg,BrkFace,Shed,RL,NAmes,Y,Gd,CompShg,Hip,Normal,WD,Pave,AllPub
38,1057,0,0,3,731,0,1,0,326,0,0,1,246,1,1953.0,1057,0,1,7922,68.0,0,0.0,0,1,20,52,7,5,0,109000,0,1057,5,0,1953,2007,2010,Grvl,1Fam,TA,No,GLQ,Unf,TA,Y,Norm,Norm,SBrkr,Gd,VinylSd,VinylSd,TA,MnPrv,Gd,CBlock,Typ,TA,Unf,TA,Detchd,GasA,TA,1Story,Gd,Lvl,Gtl,Inside,Reg,None,Shed,RL,NAmes,Y,Gd,CompShg,Gable,Abnorml,WD,Pave,AllPub
39,1152,0,0,2,0,0,0,0,0,0,0,2,0,0,1978.5061638868744,1152,0,2,6040,65.0,0,0.0,0,6,90,0,5,4,0,82000,0,0,6,0,1955,1955,2008,Grvl,Duplex,TA,No,Unf,Unf,TA,N,Norm,Norm,FuseP,TA,AsbShng,Plywood,TA,MnPrv,Gd,PConc,Typ,TA,Unf,TA,Attchd,GasA,TA,1Story,Fa,Lvl,Gtl,Inside,Reg,None,Shed,RL,Edwards,N,Gd,CompShg,Gable,AdjLand,WD,Pave,AllPub
40,1324,0,0,3,643,0,0,0,445,0,1,2,440,2,1965.0,1324,0,1,8658,84.0,0,101.0,0,12,20,138,5,6,0,160000,0,1088,6,0,1965,1965,2006,Grvl,1Fam,TA,No,Rec,Unf,TA,Y,Norm,Norm,SBrkr,TA,Wd Sdng,Wd Sdng,TA,GdWo,TA,CBlock,Typ,TA,RFn,TA,Attchd,GasA,Ex,1Story,TA,Lvl,Gtl,Inside,Reg,BrkFace,Shed,RL,NAmes,Y,Gd,CompShg,Gable,Abnorml,WD,Pave,AllPub
41,1328,0,0,2,967,0,0,1,383,0,2,1,308,1,1959.0,1328,1,1,16905,115.0,0,0.0,0,7,20,104,6,5,0,170000,0,1350,5,0,1959,1959,2007,Grvl,1Fam,TA,Gd,BLQ,Unf,TA,Y,Norm,Norm,SBrkr,Gd,VinylSd,VinylSd,TA,MnPrv,Gd,CBlock,Typ,TA,RFn,TA,Attchd,GasA,Gd,1Story,TA,Lvl,Gtl,Inside,Reg,None,Shed,RL,Timber,P,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
42,884,0,0,2,747,93,1,0,0,0,0,1,504,2,1983.0,884,0,1,9180,70.04995836802665,0,0.0,0,12,85,0,7,5,0,144000,0,840,5,240,1983,1983,2007,Grvl,1Fam,TA,Av,ALQ,LwQ,Gd,Y,Norm,Norm,SBrkr,TA,HdBoard,HdBoard,TA,MnPrv,Gd,CBlock,Typ,Gd,RFn,TA,Attchd,GasA,Gd,SFoyer,Gd,Lvl,Gtl,CulDSac,IR1,None,Shed,RL,SawyerW,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
43,938,0,0,3,280,491,1,0,167,0,0,1,308,1,1977.0,938,0,1,9200,70.04995836802665,0,0.0,0,7,20,0,6,5,0,130250,0,938,5,145,1975,1980,2008,Grvl,1Fam,TA,Av,LwQ,BLQ,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,TA,MnPrv,Gd,CBlock,Typ,TA,Unf,TA,Detchd,GasA,TA,1Story,TA,Lvl,Gtl,CulDSac,IR1,None,Shed,RL,CollgCr,Y,Gd,CompShg,Hip,Normal,WD,Pave,AllPub
44,1150,0,0,3,179,506,1,0,465,0,0,1,300,1,1959.0,1150,0,1,7945,70.0,0,0.0,0,5,20,0,6,5,0,141000,0,1150,6,0,1959,1959,2006,Grvl,1Fam,TA,No,ALQ,BLQ,TA,Y,Norm,Norm,FuseA,TA,BrkFace,Wd Sdng,TA,MnPrv,Gd,CBlock,Typ,TA,RFn,TA,Attchd,GasA,Ex,1Story,TA,Lvl,Gtl,Inside,Reg,None,Shed,RL,NAmes,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
45,1752,0,0,2,456,0,1,0,1296,0,1,2,576,2,2005.0,1752,0,1,7658,61.0,0,412.0,0,2,120,82,5,9,0,319900,0,1752,6,196,2005,2005,2010,Grvl,TwnhsE,TA,No,GLQ,Unf,Ex,Y,Norm,Norm,SBrkr,TA,MetalSd,MetalSd,Ex,MnPrv,Gd,PConc,Typ,TA,RFn,TA,Attchd,GasA,Ex,1Story,Ex,Lvl,Gtl,Inside,Reg,BrkFace,Shed,RL,NridgHt,Y,Gd,CompShg,Hip,Normal,WD,Pave,AllPub
46,1518,631,0,1,1351,0,1,0,83,0,1,1,670,2,2003.0,2149,1,1,12822,48.0,0,0.0,0,8,50,43,5,7,0,239686,198,1434,6,168,2003,2003,2009,Grvl,1Fam,TA,No,GLQ,Unf,Ex,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Ex,PConc,Typ,TA,RFn,TA,Attchd,GasA,Ex,1.5Fin,Gd,Lvl,Gtl,CulDSac,IR1,None,Shed,RL,Mitchel,Y,Gd,CompShg,Gable,Abnorml,WD,Pave,AllPub
47,1656,0,0,3,24,0,0,0,1632,0,0,2,826,3,2006.0,1656,0,1,11096,84.0,0,0.0,0,7,20,146,5,8,0,249700,0,1656,7,0,2006,2006,2007,Grvl,1Fam,TA,Av,GLQ,Unf,Gd,Y,Norm,Norm,SBrkr,TA,VinylSd,VinylSd,Gd,MnPrv,Gd,PConc,Typ,TA,RFn,TA,Attchd,GasA,Ex,1Story,Gd,Lvl,Gtl,Inside,Reg,None,Shed,FV,Somerst,Y,Gd,CompShg,Gable,Normal,WD,Pave,AllPub
